author_id,total_tweets,outbound_tweets,inbound_tweets,brand_replies_to_customer,customer_replies_to_brand,conversations,conversations_with_customer_msg,responsive_ratio
AmazonHelp,169840,169840,0,168814,100503,82534,0,0.994
AppleSupport,106860,106860,0,106646,36658,80702,0,0.998
Uber_Support,56270,56270,0,56160,22160,41923,0,0.998
SpotifyCares,43265,43265,0,43092,15096,28280,0,0.996
Delta,42253,42253,0,42114,14470,26166,0,0.997
Tesco,38573,38573,0,38468,12812,16721,0,0.997
AmericanAir,36764,36764,0,36531,18045,26385,0,0.994
TMobileHelp,34317,34317,0,34215,11662,22789,0,0.997
comcastcares,33031,33031,0,32921,8906,24061,0,0.997
British_Airways,29361,29361,0,29290,12485,16450,0,0.998
SouthwestAir,28977,28977,0,28828,11192,21636,0,0.995
VirginTrains,27817,27817,0,27416,18450,14850,0,0.986
Ask_Spectrum,25860,25860,0,25617,9536,18530,0,0.991
XboxSupport,24557,24557,0,23235,11833,13454,0,0.946
sprintcare,22381,22381,0,22209,8894,13555,0,0.992
hulu_support,21872,21872,0,21681,9142,14955,0,0.991
sainsburys,19466,19466,0,19399,9331,10934,0,0.997
GWRHelp,19364,19364,0,19237,13127,10728,0,0.993
AskPlayStation,19098,19098,0,18675,9751,12533,0,0.978
ChipotleTweets,18749,18749,0,18599,7389,14392,0,0.992
VerizonSupport,17966,17966,0,17805,12953,8446,0,0.991
UPSHelp,17817,17817,0,17762,5840,15522,0,0.997
ATVIAssist,17650,17650,0,17514,13055,11096,0,0.992
O2,16212,16212,0,16069,8508,9520,0,0.991
idea_cares,15724,15724,0,15591,8730,7521,0,0.992
Safaricom_Care,16077,16077,0,15441,7674,9337,0,0.96
AskTarget,13218,13218,0,13210,4713,11149,0,0.999
AirAsiaSupport,12829,12829,0,12694,5869,6762,0,0.989
BofA_Help,12683,12683,0,12634,3783,6581,0,0.996
ArgosHelpers,12174,12174,0,12030,6700,7553,0,0.988
AskLyft,11809,11809,0,11782,2912,10169,0,0.998
SW_Help,12231,12231,0,11729,7977,6221,0,0.959
marksandspencer,11504,11504,0,11425,4309,7976,0,0.993
AskPayPal,11298,11298,0,11239,3045,9587,0,0.995
MicrosoftHelps,11304,11304,0,11215,6228,4458,0,0.992
AskAmex,11358,11358,0,11090,4869,4300,0,0.976
Morrisons,10126,10126,0,9980,3925,5960,0,0.986
AdobeCare,9917,9917,0,9858,4567,5094,0,0.994
AskeBay,9686,9686,0,9612,4488,5662,0,0.992
airtel_care,9881,9881,0,9402,2852,4024,0,0.952
AirbnbHelp,8875,8875,0,8820,3439,6033,0,0.994
ChaseSupport,8811,8811,0,8707,1974,6887,0,0.988
McDonalds,8478,8478,0,8427,2215,8132,0,0.994
JetBlue,8020,8020,0,7956,3820,5181,0,0.992
AldiUK,8114,8114,0,7846,2750,6631,0,0.967
CoxHelp,7861,7861,0,7813,3529,4874,0,0.994
Ask_WellsFargo,7578,7578,0,7559,1830,6036,0,0.997
AlaskaAir,7478,7478,0,7412,2940,5629,0,0.991
HPSupport,7200,7200,0,7145,976,3841,0,0.992
AzureSupport,7565,7565,0,7010,3226,3309,0,0.927
LondonMidland,6822,6822,0,6498,4732,3675,0,0.953
GloCare,6308,6308,0,6300,3929,3219,0,0.999
DropboxSupport,5954,5954,0,5938,1704,3178,0,0.997
DellCares,5336,5336,0,5210,1589,1996,0,0.976
GreggsOfficial,4522,4522,0,4487,2241,3344,0,0.992
VirginAtlantic,4318,4318,0,4256,2679,2771,0,0.986
TacoBellTeam,4082,4082,0,4081,1532,3110,0,1.0
nationalrailenq,4444,4444,0,4073,2798,2275,0,0.917
AskCiti,4081,4081,0,4036,1072,2327,0,0.989
AskPapaJohns,3908,3908,0,3892,1383,3153,0,0.996
CenturyLinkHelp,3801,3801,0,3793,1224,2988,0,0.998
NikeSupport,3468,3468,0,3408,2498,1563,0,0.983
Postmates_Help,3346,3346,0,3336,1045,3010,0,0.997
VirginAmerica,2815,2815,0,2802,1176,2113,0,0.995
ATT,2790,2790,0,2716,1126,2060,0,0.973
IHGService,2643,2643,0,2625,810,1746,0,0.993
Walmart,2643,2643,0,2608,444,2406,0,0.987
TfL,2243,2243,0,2213,772,1558,0,0.987
askpanera,2153,2153,0,2152,594,1978,0,1.0
KFC_UKI_Help,2103,2103,0,2098,652,2017,0,0.998
NortonSupport,2011,2011,0,1972,1025,899,0,0.981
GoDaddyHelp,1965,1965,0,1948,791,1451,0,0.991
ArbysCares,1904,1904,0,1903,538,1555,0,0.999
AsurionCares,1898,1898,0,1846,1072,1074,0,0.973
DoorDash_Help,1581,1581,0,1574,451,1509,0,0.996
sizehelpteam,1482,1482,0,1475,663,1251,0,0.995
VMUcare,1381,1381,0,1349,689,727,0,0.977
Kimpton,1339,1339,0,1282,450,1054,0,0.957
DunkinDonuts,1290,1290,0,1277,234,1258,0,0.99
TwitterSupport,1290,1290,0,1258,180,1219,0,0.975
SCsupport,1329,1329,0,1250,601,980,0,0.941
USCellularCares,1177,1177,0,1174,770,541,0,0.997
NeweggService,1079,1079,0,1065,381,796,0,0.987
AWSSupport,1035,1035,0,1034,369,904,0,0.999
PandoraSupport,1043,1043,0,1022,366,724,0,0.98
AskRBC,1011,1011,0,1009,431,839,0,0.998
AskVirginMoney,914,914,0,906,571,396,0,0.991
BoostCare,907,907,0,900,347,673,0,0.992
YahooCare,906,906,0,859,600,538,0,0.948
OPPOCareIN,879,879,0,836,451,451,0,0.951
HiltonHelp,833,833,0,829,228,716,0,0.995
PearsonSupport,841,841,0,822,312,604,0,0.977
GooglePlayMusic,804,804,0,803,486,542,0,0.999
MTNC_Care,784,784,0,770,389,528,0,0.982
AskTigogh,715,715,0,713,379,322,0,0.997
askvisa,709,709,0,709,164,473,0,1.0
asksalesforce,710,710,0,704,306,486,0,0.992
AskSeagate,639,639,0,638,300,346,0,0.998
MOO,630,630,0,612,206,478,0,0.971
ask_progressive,612,612,0,611,151,543,0,0.998
KeyBank_Help,555,555,0,552,250,374,0,0.995
AskRobinhood,432,432,0,429,140,353,0,0.993
mediatemplehelp,305,305,0,302,114,174,0,0.99
JackBox,266,266,0,255,60,233,0,0.959
OfficeSupport,218,218,0,211,107,113,0,0.968
AskDSC,210,210,0,210,29,198,0,1.0
CarlsJr,196,196,0,181,72,166,0,0.923
HotelTonightCX,152,152,0,152,38,123,0,1.0
