conversation_id,n_tweets,first_time,brand_has_outbound,n_customer_msgs
855,8,Tue Oct 31 19:10:51 +0000 2017,True,4
862,7,Tue Oct 31 21:43:56 +0000 2017,True,4
866,4,Tue Oct 31 22:14:42 +0000 2017,True,2
1875,9,Tue Oct 31 22:24:54 +0000 2017,True,5
1878,5,Tue Oct 31 21:54:36 +0000 2017,True,2
2800,3,Sat Nov 25 15:55:58 +0000 2017,True,2
2804,4,Sat Nov 25 03:07:20 +0000 2017,True,2
2807,3,Sat Nov 25 15:13:38 +0000 2017,True,2
2809,2,Sat Nov 25 15:48:22 +0000 2017,True,1
2812,113,Fri Nov 24 03:13:13 +0000 2017,True,61
2855,4,Sat Nov 25 00:22:39 +0000 2017,True,2
2858,4,Fri Nov 24 04:09:10 +0000 2017,True,2
2862,3,Fri Nov 24 00:11:21 +0000 2017,True,2
2865,7,Fri Dec 01 06:52:13 +0000 2017,True,4
2869,4,Sat Nov 25 15:40:44 +0000 2017,True,2
2873,3,Sun Nov 26 00:03:12 +0000 2017,True,1
2878,147,Fri Dec 01 07:35:01 +0000 2017,True,80
2937,6,Tue Oct 31 21:20:49 +0000 2017,True,3
2939,2,Tue Oct 31 22:39:10 +0000 2017,True,1
2944,2,Tue Oct 31 21:56:15 +0000 2017,True,1
2946,2,Tue Oct 31 22:07:04 +0000 2017,True,1
2960,14,Sat Oct 07 20:04:48 +0000 2017,True,7
2963,6,Tue Oct 31 19:59:54 +0000 2017,True,3
2972,6,Tue Oct 31 22:24:59 +0000 2017,True,3
3891,5,Tue Oct 31 20:08:01 +0000 2017,True,3
3896,5,Tue Oct 31 22:55:41 +0000 2017,True,3
4997,13,Fri Nov 03 12:31:33 +0000 2017,True,8
5017,18,Mon Oct 23 05:22:02 +0000 2017,True,10
5021,3,Tue Oct 31 23:11:07 +0000 2017,True,2
5026,5,Tue Oct 31 18:27:35 +0000 2017,True,2
5029,6,Tue Oct 31 22:47:02 +0000 2017,True,3
5034,2,Tue Oct 31 22:54:07 +0000 2017,True,1
6486,142,Fri Nov 24 18:46:04 +0000 2017,True,80
6618,8,Mon Oct 09 00:42:46 +0000 2017,True,4
7008,8,Tue Oct 31 23:35:48 +0000 2017,True,3
7011,2,Tue Oct 31 23:21:21 +0000 2017,True,1
8208,4,Sun Nov 05 18:58:08 +0000 2017,True,3
8225,64,Fri Nov 10 03:10:44 +0000 2017,True,34
8265,2,Sun Nov 05 19:06:03 +0000 2017,True,1
8291,2,Sun Nov 05 19:27:12 +0000 2017,True,1
8306,2,Sun Nov 05 19:25:22 +0000 2017,True,1
8425,4,Sun Nov 19 00:31:46 +0000 2017,True,2
8676,2,Tue Oct 31 23:56:39 +0000 2017,True,1
8686,10,Mon Oct 30 19:22:02 +0000 2017,True,5
8689,4,Tue Oct 31 23:48:24 +0000 2017,True,2
8693,8,Tue Oct 31 23:32:37 +0000 2017,True,6
8704,6,Sun Nov 05 05:15:16 +0000 2017,True,3
9356,8,Wed Nov 01 00:01:07 +0000 2017,True,4
9362,2,Wed Nov 01 00:07:25 +0000 2017,True,1
9365,6,Tue Oct 31 23:59:29 +0000 2017,True,2
9383,18,Mon Oct 30 13:07:06 +0000 2017,True,12
9387,4,Tue Oct 31 21:04:08 +0000 2017,True,2
10718,2,Wed Nov 01 00:35:28 +0000 2017,True,1
10720,2,Wed Nov 01 00:29:37 +0000 2017,True,1
11172,9,Tue Oct 31 19:36:00 +0000 2017,True,6
11178,6,Tue Oct 31 23:12:31 +0000 2017,True,3
11312,5,Mon Oct 30 02:32:57 +0000 2017,True,3
11712,2,Wed Nov 01 00:45:16 +0000 2017,True,1
12076,17,Fri Oct 20 18:30:59 +0000 2017,True,9
